0 OPEN 
1224 RULEATTEMPT 770d0992f983ca9c1371665c9fd772f6_1264d01ebed85c0ce037a3ef95f270ff_4fbf1f3b7709cda79768f7c0d2235d77
1237 RULE 770d0992f983ca9c1371665c9fd772f6_1264d01ebed85c0ce037a3ef95f270ff_4fbf1f3b7709cda79768f7c0d2235d77_4b991a25bc135255b12fcb16a6c6d173_4fbf1f3b7709cda79768f7c0d2235d77
1246 NODE 4b991a25bc135255b12fcb16a6c6d173_4fbf1f3b7709cda79768f7c0d2235d77
1251 RULEATTEMPT af5d713042e4a119a027af48fea635b5_4b991a25bc135255b12fcb16a6c6d173_4fbf1f3b7709cda79768f7c0d2235d77
1256 RULEATTEMPT af5d713042e4a119a027af48fea635b5_4b991a25bc135255b12fcb16a6c6d173_4fbf1f3b7709cda79768f7c0d2235d77
1266 RULE af5d713042e4a119a027af48fea635b5_4b991a25bc135255b12fcb16a6c6d173_4fbf1f3b7709cda79768f7c0d2235d77_2f98d0530d015b71ef74c264b5b5e38_4fbf1f3b7709cda79768f7c0d2235d77
1274 NODE 2f98d0530d015b71ef74c264b5b5e38_4fbf1f3b7709cda79768f7c0d2235d77
1279 RULEATTEMPT 7967e33c9f0e16c69b28583f66b0bf4a_2f98d0530d015b71ef74c264b5b5e38_4fbf1f3b7709cda79768f7c0d2235d77
1285 RULEATTEMPT 7967e33c9f0e16c69b28583f66b0bf4a_2f98d0530d015b71ef74c264b5b5e38_4fbf1f3b7709cda79768f7c0d2235d77
1298 RULE 7967e33c9f0e16c69b28583f66b0bf4a_2f98d0530d015b71ef74c264b5b5e38_4fbf1f3b7709cda79768f7c0d2235d77_939f9514c0f96f437ea55ab08f66ebfb_4fbf1f3b7709cda79768f7c0d2235d77
1322 NODE 939f9514c0f96f437ea55ab08f66ebfb_4fbf1f3b7709cda79768f7c0d2235d77
1331 RULEATTEMPT 9461a3a129367c3823560d3ade70f976_939f9514c0f96f437ea55ab08f66ebfb_4fbf1f3b7709cda79768f7c0d2235d77
1339 RULEATTEMPT 9461a3a129367c3823560d3ade70f976_939f9514c0f96f437ea55ab08f66ebfb_4fbf1f3b7709cda79768f7c0d2235d77
1355 RULE 9461a3a129367c3823560d3ade70f976_939f9514c0f96f437ea55ab08f66ebfb_4fbf1f3b7709cda79768f7c0d2235d77_1566bb11f6e3ae1eef64d3dec23fa266_4fbf1f3b7709cda79768f7c0d2235d77
1372 Z3QUERY 3901be417aa53fc85e43ac9d4668684d
1381 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
1390 SRULE b0423371014640855295edf04998830c_1566bb11f6e3ae1eef64d3dec23fa266_4fbf1f3b7709cda79768f7c0d2235d77_5d6c7fc85d45eba07de000e5079cde5b_4fbf1f3b7709cda79768f7c0d2235d77
1407 Z3QUERY a228b0ee80fbdd8b9e3e958158a44f00
1417 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
1426 SRULE d963a5f1675c7983986cfcbd43c5a6a8_5d6c7fc85d45eba07de000e5079cde5b_4fbf1f3b7709cda79768f7c0d2235d77_a3f8374366d914b54ae02b2d42ebd50e_4fbf1f3b7709cda79768f7c0d2235d77
1432 NODE a3f8374366d914b54ae02b2d42ebd50e_4fbf1f3b7709cda79768f7c0d2235d77
1437 RULEATTEMPT e2a6b201fe0fc266a58117f3bdb6af92_a3f8374366d914b54ae02b2d42ebd50e_4fbf1f3b7709cda79768f7c0d2235d77
1442 RULEATTEMPT e2a6b201fe0fc266a58117f3bdb6af92_a3f8374366d914b54ae02b2d42ebd50e_4fbf1f3b7709cda79768f7c0d2235d77
1451 RULE e2a6b201fe0fc266a58117f3bdb6af92_a3f8374366d914b54ae02b2d42ebd50e_4fbf1f3b7709cda79768f7c0d2235d77_e6dec3468450c6f24c965e1e4525b96b_4fbf1f3b7709cda79768f7c0d2235d77
1458 IMPLICATION 4fbf1f3b7709cda79768f7c0d2235d77_69ee204525e19a56a014005632801713
1474 Z3QUERY 4cf878b3089743b66545455cfae85e97
1484 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
1497 SRULE b00d89a63ee7918d6dfd602651f2f925_e6dec3468450c6f24c965e1e4525b96b_4fbf1f3b7709cda79768f7c0d2235d77_57943b5219effc4e5268e8e3d61b7a04_4fbf1f3b7709cda79768f7c0d2235d77
1507 NODE 57943b5219effc4e5268e8e3d61b7a04_4fbf1f3b7709cda79768f7c0d2235d77
1514 RULEATTEMPT d9c607cd8dcffa1c1e48e94a7002b938_57943b5219effc4e5268e8e3d61b7a04_4fbf1f3b7709cda79768f7c0d2235d77
1519 RULEATTEMPT d9c607cd8dcffa1c1e48e94a7002b938_57943b5219effc4e5268e8e3d61b7a04_4fbf1f3b7709cda79768f7c0d2235d77
1528 RULE d9c607cd8dcffa1c1e48e94a7002b938_57943b5219effc4e5268e8e3d61b7a04_4fbf1f3b7709cda79768f7c0d2235d77_c8271d2221b977552ddc15d6fe8b8bdd_4fbf1f3b7709cda79768f7c0d2235d77
1534 NODE c8271d2221b977552ddc15d6fe8b8bdd_4fbf1f3b7709cda79768f7c0d2235d77
1540 RULEATTEMPT b4c2b7c2866edc0dddc43f3f1759b197_c8271d2221b977552ddc15d6fe8b8bdd_4fbf1f3b7709cda79768f7c0d2235d77
1545 RULEATTEMPT b4c2b7c2866edc0dddc43f3f1759b197_c8271d2221b977552ddc15d6fe8b8bdd_4fbf1f3b7709cda79768f7c0d2235d77
1554 RULE b4c2b7c2866edc0dddc43f3f1759b197_c8271d2221b977552ddc15d6fe8b8bdd_4fbf1f3b7709cda79768f7c0d2235d77_799e649ab95295a3afb24641e1fd8185_4fbf1f3b7709cda79768f7c0d2235d77
1560 NODE 799e649ab95295a3afb24641e1fd8185_4fbf1f3b7709cda79768f7c0d2235d77
1565 RULEATTEMPT 916242db9e74b99a3c72602f1b27dde7_799e649ab95295a3afb24641e1fd8185_4fbf1f3b7709cda79768f7c0d2235d77
1570 RULEATTEMPT d70c29635e7b8c5d8f8eb28e12504afe_799e649ab95295a3afb24641e1fd8185_4fbf1f3b7709cda79768f7c0d2235d77
1575 RULEATTEMPT d70c29635e7b8c5d8f8eb28e12504afe_799e649ab95295a3afb24641e1fd8185_4fbf1f3b7709cda79768f7c0d2235d77
1583 RULE d70c29635e7b8c5d8f8eb28e12504afe_799e649ab95295a3afb24641e1fd8185_4fbf1f3b7709cda79768f7c0d2235d77_a642ddfe799ddcaa9b08b00b493cf41f_4fbf1f3b7709cda79768f7c0d2235d77
1590 NODE a642ddfe799ddcaa9b08b00b493cf41f_4fbf1f3b7709cda79768f7c0d2235d77
1594 RULEATTEMPT 291ce9beef952b406a4d9edcac79f490_a642ddfe799ddcaa9b08b00b493cf41f_4fbf1f3b7709cda79768f7c0d2235d77
1599 RULEATTEMPT 291ce9beef952b406a4d9edcac79f490_a642ddfe799ddcaa9b08b00b493cf41f_4fbf1f3b7709cda79768f7c0d2235d77
1607 RULE 291ce9beef952b406a4d9edcac79f490_a642ddfe799ddcaa9b08b00b493cf41f_4fbf1f3b7709cda79768f7c0d2235d77_d8c88bc0a7b64a21905eeb1a75ecb5ef_4fbf1f3b7709cda79768f7c0d2235d77
1613 NODE d8c88bc0a7b64a21905eeb1a75ecb5ef_4fbf1f3b7709cda79768f7c0d2235d77
1618 RULEATTEMPT 82b79a931ab623dfc71ee41713422d62_d8c88bc0a7b64a21905eeb1a75ecb5ef_4fbf1f3b7709cda79768f7c0d2235d77
1623 RULEATTEMPT 4b844012a063e705ad9eb28f3eba64bf_d8c88bc0a7b64a21905eeb1a75ecb5ef_4fbf1f3b7709cda79768f7c0d2235d77
1627 RULEATTEMPT 82b79a931ab623dfc71ee41713422d62_d8c88bc0a7b64a21905eeb1a75ecb5ef_4fbf1f3b7709cda79768f7c0d2235d77
1635 RULE 82b79a931ab623dfc71ee41713422d62_d8c88bc0a7b64a21905eeb1a75ecb5ef_4fbf1f3b7709cda79768f7c0d2235d77_4f5787e4177456d91ee906e641712160_4fbf1f3b7709cda79768f7c0d2235d77
1641 NODE 4f5787e4177456d91ee906e641712160_4fbf1f3b7709cda79768f7c0d2235d77
1646 RULEATTEMPT 4b74905c7ba10fc34356bd0623ddc3d1_4f5787e4177456d91ee906e641712160_4fbf1f3b7709cda79768f7c0d2235d77
1651 RULEATTEMPT 6f880c8b33c88f48a493e070025e3d17_4f5787e4177456d91ee906e641712160_4fbf1f3b7709cda79768f7c0d2235d77
1655 RULEATTEMPT 7c7ae5fc45bf6fbbad0993ad67638289_4f5787e4177456d91ee906e641712160_4fbf1f3b7709cda79768f7c0d2235d77
1659 RULEATTEMPT 4b74905c7ba10fc34356bd0623ddc3d1_4f5787e4177456d91ee906e641712160_4fbf1f3b7709cda79768f7c0d2235d77
1667 RULE 4b74905c7ba10fc34356bd0623ddc3d1_4f5787e4177456d91ee906e641712160_4fbf1f3b7709cda79768f7c0d2235d77_201fc8f8dd99592db772b423f995ac7e_4fbf1f3b7709cda79768f7c0d2235d77
1673 NODE 201fc8f8dd99592db772b423f995ac7e_4fbf1f3b7709cda79768f7c0d2235d77
1678 RULEATTEMPT 770d0992f983ca9c1371665c9fd772f6_201fc8f8dd99592db772b423f995ac7e_4fbf1f3b7709cda79768f7c0d2235d77
1683 RULEATTEMPT 770d0992f983ca9c1371665c9fd772f6_201fc8f8dd99592db772b423f995ac7e_4fbf1f3b7709cda79768f7c0d2235d77
1691 RULE 770d0992f983ca9c1371665c9fd772f6_201fc8f8dd99592db772b423f995ac7e_4fbf1f3b7709cda79768f7c0d2235d77_28cbb12f9bc8ef26d5e7ef4a07429782_4fbf1f3b7709cda79768f7c0d2235d77
1696 NODE 28cbb12f9bc8ef26d5e7ef4a07429782_4fbf1f3b7709cda79768f7c0d2235d77
1702 RULEATTEMPT 574fefe39144d7b36989c34dd587c21e_28cbb12f9bc8ef26d5e7ef4a07429782_4fbf1f3b7709cda79768f7c0d2235d77
1706 RULEATTEMPT ea1743c54d66c424cc4828892a679a45_28cbb12f9bc8ef26d5e7ef4a07429782_4fbf1f3b7709cda79768f7c0d2235d77
1710 RULEATTEMPT af5d713042e4a119a027af48fea635b5_28cbb12f9bc8ef26d5e7ef4a07429782_4fbf1f3b7709cda79768f7c0d2235d77
1715 RULEATTEMPT 6a058841ed4bb60873d493c58cf5bdd4_28cbb12f9bc8ef26d5e7ef4a07429782_4fbf1f3b7709cda79768f7c0d2235d77
1719 RULEATTEMPT af5d713042e4a119a027af48fea635b5_28cbb12f9bc8ef26d5e7ef4a07429782_4fbf1f3b7709cda79768f7c0d2235d77
1726 RULE af5d713042e4a119a027af48fea635b5_28cbb12f9bc8ef26d5e7ef4a07429782_4fbf1f3b7709cda79768f7c0d2235d77_78b083fd81371a8e1807f3602f76f839_4fbf1f3b7709cda79768f7c0d2235d77
1732 NODE 78b083fd81371a8e1807f3602f76f839_4fbf1f3b7709cda79768f7c0d2235d77
1736 RULEATTEMPT 7967e33c9f0e16c69b28583f66b0bf4a_78b083fd81371a8e1807f3602f76f839_4fbf1f3b7709cda79768f7c0d2235d77
1752 RULEATTEMPT 7967e33c9f0e16c69b28583f66b0bf4a_78b083fd81371a8e1807f3602f76f839_4fbf1f3b7709cda79768f7c0d2235d77
